ID0000,sss000,yyyy00,mm0000,dd0000,sscode,ssname,sstype,fa0108,fa0110,fa0112,fa0114,fa0116,fa0118,fa0120,fa0122,mem000
1,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-1,2,多花山矾,Symplocos ramosissima Wall.ex G.Don,3.9,4.2,常绿高位芽,ALF200306_0,1号死亡
2,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-1,3,滇润楠,Machilus yunnanensis Lecomte,61.1,16,常绿高位芽,ALF200306_0,
3,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-1,4,多花山矾,Symplocos ramosissima Wall.ex G.Don,10,5.5,常绿高位芽,ALF200306_0,
4,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-1,5,多花山矾,Symplocos ramosissima Wall.ex G.Don,3.3,3.5,常绿高位芽,ALF200306_0,
5,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-1,6,多花山矾,Symplocos ramosissima Wall.ex G.Don,3,3.6,常绿高位芽,ALF200306_0,
6,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-1,7,多花山矾,Symplocos ramosissima Wall.ex G.Don,3.1,3.7,常绿高位芽,ALF200306_0,
7,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-1,8,腾冲锥,Castanopsis wattii (King ex Hook. f.) A. Camus,160.5,21,常绿高位芽,ALF200306_0,
8,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-1,9,大黄连,Mahonia mairei Takeda,2.5,2.4,常绿高位芽,ALF200306_0,
9,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-2,10,大黄连,Mahonia mairei Takeda,2.7,3.8,常绿高位芽,ALF200306_0,
10,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-2,11,黄心树,Machilus bombycina King ex Hook.f.,33.8,23,常绿高位芽,ALF200306_0,
11,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-2,12,波叶稠李,Prunus undulata Buch.-Ham.,17.5,7.2,常绿高位芽,ALF200306_0,
12,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-2,13,多花山矾,Symplocos ramosissima Wall.ex G.Don,5.3,5.5,常绿高位芽,ALF200306_0,
13,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-2,14,硬斗柯,Lithocarpus hancei (Benth.) Rehder,53.2,24,常绿高位芽,ALF200306_0,
14,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-3,15,腾冲锥,Castanopsis wattii (King ex Hook. f.) A. Camus,79,23,常绿高位芽,ALF200306_0,
15,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-3,16,木果柯,Lithocarpus xylocarpus (Kurz) Markgr.,45.8,25,常绿高位芽,ALF200306_0,
16,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-4,17,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,7.8,5.1,常绿高位芽,ALF200306_0,
17,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-4,18,黄心树,Machilus bombycina King ex Hook.f.,6.6,5.1,常绿高位芽,ALF200306_0,
18,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-4,19,红花木莲,Manglietia insignis (Wall.)Bl.,36.6,13,常绿高位芽,ALF200306_0,
19,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-4,20,多花山矾,Symplocos ramosissima Wall.ex G.Don,3.3,4,常绿高位芽,ALF200306_0,
20,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-5,21,波叶稠李,Prunus undulata Buch.-Ham.,9.9,5.3,常绿高位芽,ALF200306_0,
21,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-5,22,黄心树,Machilus bombycina King ex Hook.f.,44.8,25,常绿高位芽,ALF200306_0,
22,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-5,23,小花山茶,Camellia forrestii (Diels )Coh.,4.8,4.5,常绿高位芽,ALF200306_0,
23,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-5,24,小花山茶,Camellia forrestii (Diels )Coh.,8.9,4.3,常绿高位芽,ALF200306_0,
24,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-5,25,山矾,Symplocos sumuntia Buch.-Ham. ex D. Don,18.9,8,常绿高位芽,ALF200306_0,
25,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-5,26,黄心树,Machilus bombycina King ex Hook.f.,8,6.5,常绿高位芽,ALF200306_0,
26,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-6,27,鸭公树,Neolitsea chuii Merr.,38.6,22,常绿高位芽,ALF200306_0,
27,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-6,28,小花山茶,Camellia forrestii (Diels )Coh.,5.6,4.6,常绿高位芽,ALF200306_0,
28,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-6,29,文山鹅掌柴,Schefflera fengii Tseng &Hoo,4.4,6.5,常绿高位芽,ALF200306_0,
29,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-6,30,黄心树,Machilus bombycina King ex Hook.f.,7,7,常绿高位芽,ALF200306_0,
30,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-6,31,水青树,Tetracentran sinense Oliv.,35.8,26,落叶高位芽,ALF200306_0,
31,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-6,32,水青树,Tetracentran sinense Oliv.,56.3,26,落叶高位芽,ALF200306_0,
32,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-6,33,南亚枇杷,Eriobotrya bengalensis (Roxb.)Hook.,9,8,常绿高位芽,ALF200306_0,
33,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-6,34,多花山矾,Symplocos ramosissima Wall.ex G.Don,6.7,6,常绿高位芽,ALF200306_0,
34,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-6,35,黄心树,Machilus bombycina King ex Hook.f.,5.2,5.8,常绿高位芽,ALF200306_0,
35,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-6,36,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,5.9,2,常绿高位芽,ALF200306_0,
36,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-6,37,木果柯,Lithocarpus xylocarpus (Kurz)Markgr.,18.7,9,常绿高位芽,ALF200306_0,
37,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,38,薄叶山矾,Symplocos anomala Brand,4.8,5.5,常绿高位芽,ALF200306_0,
38,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,39,云南柃(云南志:斜基叶,Eurya obliquifolia Hemsl.,2.5,2.8,常绿高位芽,ALF200306_0,
39,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,40,波叶稠李,Prunus undulata Buch.-Ham.,3.5,4.5,常绿高位芽,ALF200306_0,
40,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,41,腾冲锥,Castanopsis wattii (King ex Hook. f.) A. Camus,9.3,8.5,常绿高位芽,ALF200306_0,
41,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,42,南亚枇杷,Eriobotrya bengalensis (Roxb.)Hook.,20.1,12.5,常绿高位芽,ALF200306_0,
42,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,43,小花山茶,Camellia forrestii (Diels )Coh.,7.6,5.2,常绿高位芽,ALF200306_0,
43,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,44,小花山茶,Camellia forrestii (Diels )Coh.,5.2,5.3,常绿高位芽,ALF200306_0,
44,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,45,大花八角,Illicium macranthum A.C.Smith,2.1,1.7,常绿高位芽,ALF200306_0,
45,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,46,小花山茶,Camellia forrestii (Diels )Coh.,3.2,4.3,常绿高位芽,ALF200306_0,
46,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,47,黄心树,Machilus bombycina King ex Hook.f.,6.6,4.6,常绿高位芽,ALF200306_0,
47,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,48,云南柃(云南志:斜基叶,Eurya obliquifolia Hemsl.,2.7,2.5,常绿高位芽,ALF200306_0,
48,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,49,景东冬青,Ilex gintungensis H.W.Li ex Y.R.Li,8.3,9.6,常绿高位芽,ALF200306_0,
49,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,50,南亚枇杷,Eriobotrya bengalensis (Roxb.)Hook.,3.2,3.8,常绿高位芽,ALF200306_0,
50,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,51,波叶稠李,Prunus undulata Buch.-Ham.,6.2,8.2,常绿高位芽,ALF200306_0,
51,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,52,滇润楠,Machilus yunnanensis Lecomte,49.7,23,常绿高位芽,ALF200306_0,
52,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,53,滇润楠,Machilus yunnanensis Lecomte,3.8,2.7,常绿高位芽,ALF200306_0,
53,ALF,2004,12,25,ALFZH01AC0_01,哀牢山综合观测场中山湿性常绿阔叶林长期观测样地,综合观测场永久样地,ALFZH01AC0-01-7,54,小花山茶,Camellia forrestii (Diels )Coh.,5,4.2,常绿高位芽,ALF200306_0,
